kode_customer;nama_toko;pemilik;no_hp;alamat;kelurahan;kecamatan;kota;provinsi;lat;lng;kategori_toko;omzet_estimasi;salesman_id;status
8358281;Indomaret Mangga Besar;;;Jl. Mangga Besar II No.7B 6, RT.6/RW.2;TAMAN SARI;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.150992;106.820941;Minimarket;;;Aktif
8918565;FAMILY MART CITY RESORT BOULEVARD;;;Jl. Boulevard Raya No.7, RT.7/RW.14;CENGKARENG TIMUR;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.13627;106.731336;Minimarket;;;Aktif
11117002;Prima Freshmart Salam Raya;;;RT.5/RW.3;SUKABUMI UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.204906;106.780264;Frozen Food;;;Aktif
12875862;GG TEAM ( Toples Hardtop );;;6, Jl. Jelambar Sel. XVII-G No.11, RT.5/RW.9;JELAMBAR BARU;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.150591;106.78984;Minimarket;;;Aktif
8364835;Indomaret Warung Gantung 2 Taox;;;Kalideres;KALIDERES;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.144398;106.691429;Minimarket;;;Aktif
9924254;Toko Sayur Teh Reni;;;Sukabumi Utara;SUKABUMI UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.212172;106.781242;Vegetable Store;;;Aktif
12871532;Cellis Houseware;;;Jl. Ratu Kamboja Ruko, Jl. Taman Cosmos No.2 Blok F, RW.7;KEDOYA UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.167195;106.765048;Minimarket;;;Aktif
11107569;Prima Freshmart Permata Taman Palem;;;Jl. Permata Taman Palem No.6 6, RT.6/RW.3;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.131516;106.708572;Frozen Food;;;Aktif
8363240;Alfamart;;;Jl. Tmn Hrpn Idh Cc/14-15, Kel, RT.14/RW.7;JELAMBAR BARU;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.144067;106.787871;Minimarket;;;Aktif
8411379;M&m Mart Apartment Citypark;;;Apartment Citypark;CENGKARENG TIMUR;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.131251;106.735425;Minimarket;;;Aktif
12913624;Toko Bintang Delapan;;;Jl. Seni Budaya Raya No.11, RT.5/RW.5;JELAMBAR BARU;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.149935;106.784806;Minimarket;;;Aktif
2951761;Hypermart Puri Indah;;;Jl. Puri Permai No.82 blok w, RT.2/RW.2;KEMBANGAN SELATAN;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.185461;106.739513;Hypermarket;;;Aktif
7878281;Prima Mart Srengseng Raya;;;Jl. Srengseng Raya No.88 2, RT.2/RW.6;SRENGSENG;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.210464;106.759107;Frozen Food;;;Aktif
7855130;Indomaret Joglo Raya 88;;;Jl. Joglo Raya No. 88;JOGLO;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.221096;106.721332;Minimarket;;;Aktif
8363636;Alfamart;;;Jl.Ry Duri Utara 2C-2D Kel, RT.5/RW.2;DURI UTARA;TAMBORA;JAKARTA BARAT;DKI JAKARTA;-6.154595;106.806554;Minimarket;;;Aktif
7874359;Alfamart Outer Ring Road;;;Jkt Outer Ring Road, RT.13/RW.11;CENGKARENG TIMUR;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.1226;106.731509;Minimarket;;;Aktif
8363713;Alfamart Taman Palem Lestari 4;;;Jl. Taman Palem Lestari No.B18 1D, RT.6/RW.13;CENGKARENG BARAT;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.138216;106.7229;Minimarket;;;Aktif
8407881;Alfa Midi Mini Market;;;Jl. Taman Palem Lestari B No. 16 10;CENGKARENG BARAT;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.139749;106.726524;Minimarket;;;Aktif
8855750;Alfa Express Stasiun Jakarta Kota;;;Pinangsia;PINANGSIA;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.137449;106.814452;Minimarket;;;Aktif
7873351;Alfamart;;;Jl. Manggis Raya Blok C.7, No. 86-86A, Rt. 003/006 Kel, RT.3/RW.6;RAWA BUAYA;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.16272;106.74046;Minimarket;;;Aktif
12908932;Toko Ibu Marhumah;;;Jl. Bulak Sere No.67, RT.2/RW.6;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.136482;106.698967;Minimarket;;;Aktif
7881119;FamilyMart Taman Surya;;;Taman Surya;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.135254;106.716521;Minimarket;;;Aktif
