kode_existing;nama_toko;brand_kompetitor;alamat;lat;lng;sumber_data;catatan
R32402;WARUNG BU ROKAYAH;TKO;JL RUSUNAWA PESAKIH;-6.1617202;106.7158918;Internal;
R32411;TOKO KHIRUL LUBIS;TKO;JL BOJONG RAYA;-6.1716078;106.7317805;Internal;
R32495;TOKO SUPRI;TKO;RAWA BUAYA;-6.1620228;106.705152;Internal;
R32507;TOKO AERUL JAYA;TKO;JL ADHY KARYA;-6.1668692;106.7491204;Internal;
R32564;TOKO HAJI NURUL;TKO;JL PETIR UTAMA;-6.1817079;106.7128324;Internal;
R33033;TOKO NARA 2;TKO;JL DURI KOSAMBI;-6.1696014;106.7203612;Internal;
R33365;WARUNG PALM;TKO;JL LAUNDRI;-6.1802463;106.6891864;Internal;
R33366;WARUNG PUTRA;TKO;JL LAUNDRY;-6.1801435;106.6889701;Internal;
R33368;TOKO LIAN 2;TKO;JL LANUNDRI;-6.1801839;106.6886172;Internal;
R33370;WARUNG MAMA;TKO;JL N NO 21;-6.1817383;106.6907792;Internal;
R33371;TOKO AULIA;TKO;JL KP DONGKAL;-6.1819268;106.6904947;Internal;
R33372;WARUNG WILDAN 1;TKO;JL MESJID JAMI;-6.1825038;106.6898366;Internal;
R33373;BAROKAH JAYA;TKO;JL DONGKAL;-6.183125;106.6895957;Internal;
R33374;TOKO ALVARO;TKO;JL DONGKAL;-6.1832792;106.6901054;Internal;
R33447;TOKO BILKIS;TKO;JL JH SANSUI;-6.1779836;106.7168272;Internal;
R33457;TOKO TAUFIK;TKO;JL MASJID ISTIQOMAH;-6.1706806;106.7210968;Internal;
R34195;RUMAH OCHI;TKO;JL KAMBOJA UJUNG;-6.1654344;106.7089882;Internal;
R34196;TOKO NAJWA;TKO;JL SEMANAN 2;-6.1637955;106.7065565;Internal;
R34713;TOKO IBU HAJI;TKO;JL BOJONG RAYA;-6.1718974;106.7325101;Internal;
R34847;TOKO BERKAH 2;TKO;JL KP PULO;-6.1813798;106.7129122;Internal;
R34858;TOKO LUKMAN;TKO;JL AL FALAH;-6.1841905;106.7126703;Internal;
R34992;TOKO SUDIN;TKO;JL RAWA BUAYA;-6.1644382;106.7151086;Internal;
R34993;TOKO RATNA;TKO;JL RAWA BUAYA;-6.1643806;106.7150146;Internal;
R34994;TOKO IRNAS;TKO;JL RAWA BUAYA;-6.1644151;106.7150655;Internal;
R4975;TOKO RAMDHAN ( JAK-BAR );TKO;JL. H. JUHRI, RW.2, MERUYA SELATAN;-6.2108797;106.7344903;Internal;
R6391;H DAHLAN;TKO;JL BAKTI MULYA RT 6 RW 2;-6.1153477;106.7167501;Internal;
R6743;TK LASINI;TKO;JAKARTA BARAT;-6.1844991;106.7164915;Internal;
R7259;ALI;TKO;JL ABDUL HAMID DURI KOSAMBI;-6.1775254;106.7198363;Internal;
R7836;TOKO OMAN;TKO;JLN MASJID DARUL FATHIM;-6.1658608;106.7135591;Internal;
R9063;WARUNG OMA;TKO;JALAN KAMPUNG BASMOL NOMOR 10D DEKET REL;-6.1590906;106.7479515;Internal;
R9067;TOKO ANIS;TKO;JL KB JAHE;-6.1628867;106.7478421;Internal;
R9135;WARUNG SEMBAKO MERUYA;TKO;JALAN MERUYA SELATAN NOMOR 111;-6.2095035;106.7379723;Internal;
R9269;WR MAH NANDA;TKO;JALAN H SAABAH RAYA NOMOR 99;-6.1979046;106.730889;Internal;
R9408;TK OM UMAR;TKO;JL KP BELAKANG;-6.0991879;106.6947166;Internal;
R9469;WARUNG AJENG;TKO;//JL. DAHLIA KP. PANGKALAN NO.6 RT.08 RW.010;-6.1140196;106.6922432;Internal;
R9474;TOKO LUBIS 2;TKO;JL WARUNG PONCOL;-6.1131392;106.6967205;Internal;
R9478;MADURA HERI LAMONAN;TKO;JL WARUNG PONCOL NO 3;-6.1131069;106.696705;Internal;
R9484;TOKO AKBAR;TKO;GG ASEM RT03/07;-6.112998;106.6967578;Internal;
R9730;WR HANDI;TKO;KOMPLEK DKI JOGLO;-6.1585143;106.7146753;Internal;
R9882;WARUNG AQUA;TKO;JALAN BOJONG RAYA NO 29;-6.1839345;106.736121;Internal;
R9962;TOKO RAFANI;TKO;JL MERUYA ILIR RAYA;-6.1978863;106.7428187;Internal;
R9986;WARUNG MADURA YOGA;TKO;JALAN MERUYA SELATAN;-6.1977467;106.7306667;Internal;
R9987;WARUNG MAS CHI;TKO;JALAN MERUYA SELATAN;-6.2035813;106.7295642;Internal;
R9989;TOKO YANTO 1;TKO;JALAN MERUYA SELATAN;-6.2027074;106.7344844;Internal;
R9990;TOKO MADURA RANI;TKO;JALAN HAJI SAABA RAYA;-6.2079161;106.7377304;Internal;
R9997;WARUNG UMI MIDAH;TKO;JL H KASAM;-6.1536669;106.7613219;Internal;
R13375;WARUNG FIRMAN;TKO;JL GAGA UTAMA NO 10;-6.1804513;106.7318081;Internal;
R18733;TOKO HASAN;TKO;JL.GG ASEM;-6.2005721;106.7433031;Internal;
R22001;WR MADURA PAUSI;TKO;JL MERUYA ILIR UTARA RT02/RW7 NO.54;-6.1985602;106.7420166;Internal;
R22040;TK EDO 2;TKO;JL ANGREK RT03/RW08 NO.40B;-6.1983409;106.7550412;Internal;
R22212;TK RICKY;TKO;JL H MADING RT10/02 (DEPAN WARTEG MEKARJAYA);-6.1801355;106.7371234;Internal;
R22268;TK HAJI ARIF (JAK-BAR);TKO;JL MANDOR RAMIN RT07/RW08 (SAMPING MUSHOLA AL-FALAH);-6.177283;106.7409605;Internal;
R22319;TK KHOLIK;TKO;JL H SARIMUN NO.205A RT08/RW01;-6.1850305;106.7276619;Internal;
R22546;TK ARIL;TKO;JL KH HASYIM PONDOK CABE DEPAN AGEN BRILINK;-6.1757749;106.7324063;Internal;
R22596;TK QOLIS 1;TKO;JL H MADING RT08/RW02;-6.1834021;106.7360531;Internal;
